date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:25	1975/1975	U-----	200	untouched ('')	image/gif	etag:%22CW9EA4nGFVz%22	http://global.ahnlab.com/image/en/about/img_flag_30_20.gif	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/image/en/about/img_flag_30_20.gif	(from http://global.ahnlab.com/css/en/ahnlab.css)
17:30:25	1266/1266	U-----	200	untouched ('')	image/gif	etag:%225oKcnG9t18v%22	http://global.ahnlab.com/image/sg/main/btn_lymain_close.gif	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/image/sg/main/btn_lymain_close.gif	(from http://global.ahnlab.com/css/en/ahnlab.css)
17:30:25	364/364	U-----	200	untouched ('')	image/gif	etag:%226wdmwphiR1M%22	http://global.ahnlab.com/image/en/common/ico_email.gif	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/image/en/common/ico_email.gif	(from http://global.ahnlab.com/css/en/ahnlab.css)
17:30:25	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:28%20GMT	http://global.ahnlab.com/site/search/AhnLab_AMSD_Brochure_EN_ROW.pdf	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/search/AhnLab_AMSD_Brochure_EN_ROW.2d.delayed	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:26	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:29%20GMT	http://global.ahnlab.com/site/search/1304017957138504.pdf	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/search/1304017957138504.2e.delayed	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:27	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:30%20GMT	http://global.ahnlab.com/site/search/AhnLab_AOS_SecureWeb_Brochure_EN_ROW.pdf	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/search/AhnLab_AOS_SecureWeb_Brochure_EN_ROW.2f.delayed	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:28	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:30%20GMT	http://global.ahnlab.com/site/search/1305145020762862.pdf	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/search/1305145020762862.30.delayed	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:28	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:30:31%20GMT	http://global.ahnlab.com/site/threat/viruscenter/virusView.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/threat/viruscenter/virusView.31.delayed	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:34	57587/57587	---MC-	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:31%20GMT	http://global.ahnlab.com/site/securitycenter/viruscenter/virusView.do?virusSeq=34829	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/securitycenter/viruscenter/virusViewa976.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:30:35	60311/60311	---MC-	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:30:31%20GMT	http://global.ahnlab.com/site/securitycenter/viruscenter/virusView.do?virusSeq=34828	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/securitycenter/viruscenter/virusView3b05.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
